Date,Team,Player,Pos,PTS_line,AST_line,REB_line,TPM_line,PA_line,PR_line,RA_line,PRA_line,STL_line,BLK_line,STL_BLK_line
11/21/2025,TOR,Sandro Mamukelashvili,C,8.5,,4.5,,,13.5,,,,,
11/21/2025,TOR,Scottie Barnes,PF,19.5,5.5,8.5,1.5,25.5,28.5,13.5,33.5,1.5,1.5,2.5
11/21/2025,OKC,Shai Gilgeous-Alexander,PG,31.5,6.5,4.5,1.5,38.5,35.5,11.5,42.5,1.5,0.5,2.5
11/21/2025,MIA,Simone Fontecchio,SF,10.5,,3.5,2.5,,14.5,,,,,
11/21/2025,GSW,Stephen Curry,PG,28.5,4.5,4.5,4.5,32.5,32.5,8.5,37.5,1.5,,
11/21/2025,UTA,Svi Mykhailiuk,SF,8.5,,2.5,1.5,,10.5,,,,,
11/21/2025,IND,T.J. McConnell,PG,8.5,3.5,,,12.5,,,,,,
11/21/2025,BRK,Terance Mann,SG,9.5,3.5,3.5,1.5,12.5,12.5,6.5,16.5,,,
11/21/2025,DEN,Tim Hardaway Jr.,SG,9.5,,,1.5,,,,,,,
11/21/2025,POR,Toumani Camara,PF,13.5,2.5,5.5,2.5,16.5,19.5,8.5,22.5,1.5,0.5,1.5
11/21/2025,WAS,Tre Johnson,SG,8.5,,,1.5,,,,,,,
11/21/2025,CHI,Tre Jones,PG,8.5,,,,,,,,,,
11/21/2025,NOP,Trey Murphy III,SF,18.5,3.5,5.5,2.5,22.5,24.5,8.5,27.5,1.5,0.5,1.5
11/21/2025,BRK,Tyrese Martin,SG,7.5,2.5,2.5,1.5,9.5,9.5,5.5,12.5,,,
11/21/2025,GSW,Will Richard,SG,6.5,1.5,2.5,0.5,8.5,9.5,,10.5,,,
11/21/2025,NOP,Yves Missi,C,,,4.5,,,,,,,,
11/21/2025,BRK,Ziaire Williams,SF,11.5,0.5,3.5,1.5,12.5,14.5,4.5,15.5,,,
11/21/2025,NOP,Zion Williamson,PF,23.5,4.5,6.5,,28.5,30.5,10.5,34.5,1.5,0.5,1.5
11/22/2025,MIL,AJ Green,SG,9.5,,,2.5,,,,,,,
11/22/2025,ORL,Anthony Black,PG,10.5,2.5,3.5,,13.5,14.5,6.5,17.5,,,
11/22/2025,DET,Ausar Thompson,SF,9.5,2.5,4.5,,12.5,15.5,7.5,17.5,,,
11/22/2025,CHI,Ayo Dosunmu,SG,13.5,,3.5,,,,,,,,
11/22/2025,WAS,Bilal Coulibaly,SG,10.5,2.5,3.5,1.5,13.5,14.5,7.5,17.5,1.5,,
11/22/2025,MIL,Bobby Portis,PF,15.5,,8.5,1.5,,23.5,,,,,
11/22/2025,DAL,Brandon Williams,PG,14.5,4.5,3.5,1.5,19.5,17.5,8.5,22.5,,,
11/22/2025,DEN,Bruce Brown,SG,8.5,2.5,3.5,,10.5,12.5,6.5,14.5,,,
11/22/2025,WAS,CJ McCollum,SG,16.5,3.5,3.5,2.5,20.5,20.5,6.5,24.5,0.5,,
11/22/2025,DET,Cade Cunningham,PG,27.5,9.5,5.5,2.5,36.5,33.5,14.5,42.5,1.5,0.5,1.5
11/22/2025,MEM,Cam Spencer,SG,10.5,3.5,,1.5,14.5,,,,,,
11/22/2025,WAS,Cam Whitmore,SF,11.5,,,1.5,,,,,,,
11/22/2025,DEN,Cameron Johnson,SF,13.5,2.5,3.5,1.5,15.5,16.5,6.5,19.5,,,
11/22/2025,MEM,Cedric Coward,SG,16.5,2.5,5.5,1.5,19.5,22.5,8.5,25.5,,,
11/22/2025,CHI,Coby White,SG,20.5,4.5,2.5,3.5,25.5,23.5,7.5,28.5,0.5,,
11/22/2025,MIL,Cole Anthony,PG,9.5,5.5,3.5,,14.5,12.5,8.5,18.5,,,
11/22/2025,DAL,Cooper Flagg,PG,17.5,3.5,6.5,1.5,20.5,23.5,10.5,27.5,1.5,0.5,1.5
11/22/2025,DAL,Daniel Gafford,C,10.5,,6.5,,,17.5,,18.5,,,
11/22/2025,SAC,DeMar DeRozan,PF,17.5,3.5,2.5,,21.5,21.5,6.5,24.5,0.5,,
11/22/2025,SAC,Dennis Schroder,PG,11.5,4.5,2.5,1.5,16.5,14.5,7.5,19.5,0.5,,
11/22/2025,DAL,Dereck Lively II,C,5.5,,5.5,,,11.5,,,,,
11/22/2025,NOP,Derik Queen,C,15.5,5.5,7.5,,20.5,23.5,13.5,28.5,,1.5,
11/22/2025,ORL,Desmond Bane,SG,20.5,4.5,4.5,2.5,25.5,25.5,9.5,31.5,0.5,,
11/22/2025,SAC,Drew Eubanks,C,8.5,,4.5,,,13.5,,,,,
11/22/2025,DET,Duncan Robinson,SF,10.5,,,2.5,,,,,,,
11/22/2025,ATL,Dyson Daniels,SG,11.5,5.5,5.5,,17.5,17.5,11.5,22.5,2.5,0.5,3.5
11/22/2025,ORL,Franz Wagner,SF,23.5,4.5,6.5,1.5,28.5,30.5,10.5,34.5,0.5,0.5,1.5
11/22/2025,MIL,Gary Trent Jr.,SG,12.5,,,2.5,,,,,1.5,,
11/22/2025,ORL,Goga Bitadze,C,4.5,,4.5,,,9.5,,,,,
11/22/2025,NOP,Herbert Jones,SF,10.5,2.5,3.5,1.5,12.5,13.5,5.5,16.5,1.5,0.5,1.5
11/22/2025,DET,Isaiah Stewart,C,8.5,,6.5,,,14.5,,,,,
11/22/2025,DET,Jaden Ivey,SG,9.5,,,1.5,,,,,,,
11/22/2025,NYK,Jalen Brunson,PG,28.5,6.5,2.5,2.5,35.5,31.5,9.5,38.5,0.5,,
11/22/2025,DET,Jalen Duren,C,17.5,,12.5,,,30.5,,,,0.5,
11/22/2025,ATL,Jalen Johnson,SF,22.5,6.5,9.5,1.5,29.5,32.5,16.5,39.5,1.5,0.5,1.5
11/22/2025,ORL,Jalen Suggs,PG,14.5,5.5,3.5,2.5,19.5,18.5,9.5,23.5,1.5,,
11/22/2025,DEN,Jamal Murray,PG,22.5,6.5,3.5,2.5,28.5,26.5,10.5,32.5,0.5,,
11/22/2025,MEM,Jaylen Wells,SG,11.5,1.5,3.5,1.5,13.5,14.5,5.5,16.5,0.5,,
11/22/2025,NOP,Jeremiah Fears,PG,15.5,2.5,3.5,1.5,18.5,18.5,6.5,22.5,1.5,,
11/22/2025,MEM,Jock Landale,C,8.5,,4.5,,,,,,,,
11/22/2025,DEN,Jonas Valanciunas,C,8.5,,4.5,,,13.5,,,,,
11/22/2025,NYK,Jordan Clarkson,SG,9.5,,,1.5,,,,13.5,,,
11/22/2025,NOP,Jose Alvarado,PG,8.5,2.5,2.5,1.5,11.5,10.5,5.5,13.5,,,
11/22/2025,CHI,Josh Giddey,PG,20.5,9.5,9.5,1.5,30.5,30.5,18.5,39.5,1.5,,
11/22/2025,NYK,Josh Hart,SF,11.5,4.5,7.5,,15.5,18.5,11.5,22.5,0.5,,
11/22/2025,NYK,Karl-Anthony Towns,C,21.5,2.5,11.5,1.5,24.5,33.5,14.5,36.5,0.5,0.5,1.5
11/22/2025,SAC,Keegan Murray,PF,11.5,,5.5,1.5,,16.5,,,,,
11/22/2025,MEM,Kentavious Caldwell-Pope,SG,7.5,2.5,,0.5,,,,,,,
11/22/2025,CHI,Kevin Huerter,SF,12.5,,3.5,,,,,,,,
11/22/2025,ATL,Kristaps Porzingis,C,18.5,2.5,6.5,1.5,21.5,24.5,9.5,27.5,0.5,1.5,2.5
11/22/2025,MIL,Kyle Kuzma,PF,14.5,2.5,5.5,0.5,16.5,19.5,7.5,21.5,,,
11/22/2025,WAS,Kyshawn George,SF,15.5,4.5,5.5,2.5,20.5,21.5,10.5,26.5,0.5,,
11/22/2025,NYK,Landry Shamet,SG,8.5,,,1.5,,,,12.5,,,
